"pkey","staff","turnover","other.rev","total.rev","staff.costs","total.costs","profit"
"DUTCH RETAILERS, SBS2012, RETAILER001",75,NA,NA,1130,NA,18915,20045
"DUTCH RETAILERS, SBS2012, RETAILER002",9,1607,NA,1607,131,1544,63
"DUTCH RETAILERS, SBS2012, RETAILER003",NA,6886,-33,6919,324,6493,426
"DUTCH RETAILERS, SBS2012, RETAILER004",NA,3861,13,3874,290,3600,274
"DUTCH RETAILERS, SBS2012, RETAILER005",NA,NA,37,5602,314,5530,72
"DUTCH RETAILERS, SBS2012, RETAILER006",1,25,NA,25,NA,22,3
"DUTCH RETAILERS, SBS2012, RETAILER007",5,NA,NA,1335,135,136,1
"DUTCH RETAILERS, SBS2012, RETAILER008",3,404,13,417,NA,342,75
"DUTCH RETAILERS, SBS2012, RETAILER009",6,2596,NA,2596,147,2486,110
"DUTCH RETAILERS, SBS2012, RETAILER010",5,NA,NA,NA,NA,NA,NA
"DUTCH RETAILERS, SBS2012, RETAILER011",5,645,NA,645,130,636,9
"DUTCH RETAILERS, SBS2012, RETAILER012",5,2872,NA,2872,182,2652,220
"DUTCH RETAILERS, SBS2012, RETAILER013",13,5678,12,5690,326,5656,34
"DUTCH RETAILERS, SBS2012, RETAILER014",NA,931397,NA,931397,36872,841489,89908
"DUTCH RETAILERS, SBS2012, RETAILER015",3,80000,NA,NA,40000,NA,NA
"DUTCH RETAILERS, SBS2012, RETAILER016",52,9067,622,9689,1125,9911,-222
"DUTCH RETAILERS, SBS2012, RETAILER017",10,1500,20,1520,195,1384,136
"DUTCH RETAILERS, SBS2012, RETAILER018",4,440,NA,440,16,379,60
"DUTCH RETAILERS, SBS2012, RETAILER019",3,690,NA,690,19000,464507,225493
"DUTCH RETAILERS, SBS2012, RETAILER020",8,1852,NA,1852,120,1812,40
"DUTCH RETAILERS, SBS2012, RETAILER021",2,359,9,368,NA,339,29
"DUTCH RETAILERS, SBS2012, RETAILER022",3,839,NA,839,2,717,122
"DUTCH RETAILERS, SBS2012, RETAILER023",2,471,NA,471,34,411,60
"DUTCH RETAILERS, SBS2012, RETAILER024",4,933,2,935,31,814,121
"DUTCH RETAILERS, SBS2012, RETAILER025",3,1665,NA,1665,70,186,1478
"DUTCH RETAILERS, SBS2012, RETAILER026",6,2318,NA,2318,184,390,86
"DUTCH RETAILERS, SBS2012, RETAILER027",2,1175,12,1187,114,NA,17
"DUTCH RETAILERS, SBS2012, RETAILER028",16,2946,7,2953,245,2870,83
"DUTCH RETAILERS, SBS2012, RETAILER029",1,492,NA,492,NA,470,22
"DUTCH RETAILERS, SBS2012, RETAILER030",6,1831,1831,1831,53,1443,388
"DUTCH RETAILERS, SBS2012, RETAILER031",29,7271,30,7301,451,7242,59
"DUTCH RETAILERS, SBS2012, RETAILER032",8,971,NA,107,28,95,100
"DUTCH RETAILERS, SBS2012, RETAILER033",13,4118,11,4129,57,3601,528
"DUTCH RETAILERS, SBS2012, RETAILER034",9,2803,NA,2803,106,2643,160
"DUTCH RETAILERS, SBS2012, RETAILER035",15,2876,33,2909,539,2627,282
"DUTCH RETAILERS, SBS2012, RETAILER036",14,2649,98350,2747,221302,2725410,22457
"DUTCH RETAILERS, SBS2012, RETAILER037",6,1024,4,206,64,170,37
"DUTCH RETAILERS, SBS2012, RETAILER038",53,9842,NA,9842,837,10000,-160
"DUTCH RETAILERS, SBS2012, RETAILER039",7,2463,38,2501,87,2347,154
"DUTCH RETAILERS, SBS2012, RETAILER040",NA,4445,98,4543,369,4266,277
"DUTCH RETAILERS, SBS2012, RETAILER041",20,3284,11,3295,181,3168,127
"DUTCH RETAILERS, SBS2012, RETAILER042",2,814,NA,814,107,175,NA
"DUTCH RETAILERS, SBS2012, RETAILER043",NA,1210,NA,1210,52,1124,86
"DUTCH RETAILERS, SBS2012, RETAILER044",1,343,NA,343,NA,NA,NA
"DUTCH RETAILERS, SBS2012, RETAILER045",3,952,NA,952,79,NA,149
"DUTCH RETAILERS, SBS2012, RETAILER046",1,41,NA,41,NA,32,9
"DUTCH RETAILERS, SBS2012, RETAILER047",60,3633,NA,3633,257,3626,7
"DUTCH RETAILERS, SBS2012, RETAILER048",8,2906,NA,2906,144,453,53
"DUTCH RETAILERS, SBS2012, RETAILER049",10,2333,6,2339,193,2353,-14
"DUTCH RETAILERS, SBS2012, RETAILER050",12,2275,5,2280,222,2302,-22
"DUTCH RETAILERS, SBS2012, RETAILER051",7,1728,NA,1728,153,1681,47
"DUTCH RETAILERS, SBS2012, RETAILER052",24,6872,32,6904,485,6729,174
"DUTCH RETAILERS, SBS2012, RETAILER053",29,3571,76,3647,311,3554,93
"DUTCH RETAILERS, SBS2012, RETAILER054",11,1021,NA,1021,235,472,549
"DUTCH RETAILERS, SBS2012, RETAILER055",1,197,NA,197,NA,168,30
"DUTCH RETAILERS, SBS2012, RETAILER056",7,917,NA,917,30,781,136
"DUTCH RETAILERS, SBS2012, RETAILER057",8,2000,NA,2000,NA,1700,NA
"DUTCH RETAILERS, SBS2012, RETAILER058",3,200,NA,200,49,177,222
"DUTCH RETAILERS, SBS2012, RETAILER059",4,342,NA,342,30,299,43
"DUTCH RETAILERS, SBS2012, RETAILER060",6,1,NA,1411,179,1215,196
